Provinsi,Tahun,Jenis Tanaman,Produksi
Sumatera Selatan,2022,Produksi Cabai Besar Tw Teropong,118681.0
Bengkulu,2022,Produksi Cabai Besar Tw Teropong,372493.0
Lampung,2022,Produksi Cabai Besar Tw Teropong,69146.0
Kepulauan Bangka Belitung,2022,Produksi Cabai Besar Tw Teropong,8100.0
Kepulauan Riau,2022,Produksi Cabai Besar Tw Teropong,10464.0
DKI Jakarta,2022,Produksi Cabai Besar Tw Teropong,
Jawa Barat,2022,Produksi Cabai Besar Tw Teropong,1619987.0
Jawa Tengah,2022,Produksi Cabai Besar Tw Teropong,502838.0
DI Yogyakarta,2022,Produksi Cabai Besar Tw Teropong,17194.0
Jawa Timur,2022,Produksi Cabai Besar Tw Teropong,854435.0
Banten,2022,Produksi Cabai Besar Tw Teropong,14525.0
Bali,2022,Produksi Cabai Besar Tw Teropong,66299.0
Nusa Tenggara Barat,2022,Produksi Cabai Besar Tw Teropong,156370.0
Nusa Tenggara Timur,2022,Produksi Cabai Besar Tw Teropong,15148.0
Kalimantan Barat,2022,Produksi Cabai Besar Tw Teropong,24976.0
Kalimantan Tengah,2022,Produksi Cabai Besar Tw Teropong,9371.0
Kalimantan Selatan,2022,Produksi Cabai Besar Tw Teropong,61337.0
Kalimantan Timur,2022,Produksi Cabai Besar Tw Teropong,20826.0
Kalimantan Utara,2022,Produksi Cabai Besar Tw Teropong,50409.0
Sulawesi Utara,2022,Produksi Cabai Besar Tw Teropong,1265.0
Sulawesi Tengah,2022,Produksi Cabai Besar Tw Teropong,14356.0
Sulawesi Selatan,2022,Produksi Cabai Besar Tw Teropong,133965.0
Sulawesi Tenggara,2022,Produksi Cabai Besar Tw Teropong,14744.0
Gorontalo,2022,Produksi Cabai Besar Tw Teropong,15489.0
Sulawesi Barat,2022,Produksi Cabai Besar Tw Teropong,25184.0
Maluku,2022,Produksi Cabai Besar Tw Teropong,8010.0
Maluku Utara,2022,Produksi Cabai Besar Tw Teropong,185.0
Papua Barat,2022,Produksi Cabai Besar Tw Teropong,10700.0
Papua,2022,Produksi Cabai Besar Tw Teropong,21544.0
Aceh,2023,Produksi Cabai Besar Tw Teropong,2716.0
Sumatera Utara,2023,Produksi Cabai Besar Tw Teropong,126698.0
Sumatera Barat,2023,Produksi Cabai Besar Tw Teropong,6.0
Riau,2023,Produksi Cabai Besar Tw Teropong,12392.0
Jambi,2023,Produksi Cabai Besar Tw Teropong,12196.0
Sumatera Selatan,2023,Produksi Cabai Besar Tw Teropong,30116.0
Bengkulu,2023,Produksi Cabai Besar Tw Teropong,342571.0
Lampung,2023,Produksi Cabai Besar Tw Teropong,71392.0
Kepulauan Bangka Belitung,2023,Produksi Cabai Besar Tw Teropong,9561.0
Kepulauan Riau,2023,Produksi Cabai Besar Tw Teropong,5437.0
DKI Jakarta,2023,Produksi Cabai Besar Tw Teropong,0.0
Jawa Barat,2023,Produksi Cabai Besar Tw Teropong,1386710.0
Jawa Tengah,2023,Produksi Cabai Besar Tw Teropong,486099.0
DI Yogyakarta,2023,Produksi Cabai Besar Tw Teropong,24237.0
Jawa Timur,2023,Produksi Cabai Besar Tw Teropong,847119.0
Banten,2023,Produksi Cabai Besar Tw Teropong,10823.0
Bali,2023,Produksi Cabai Besar Tw Teropong,70826.0
Nusa Tenggara Barat,2023,Produksi Cabai Besar Tw Teropong,108288.0
Nusa Tenggara Timur,2023,Produksi Cabai Besar Tw Teropong,13039.0
Kalimantan Barat,2023,Produksi Cabai Besar Tw Teropong,25419.0
Kalimantan Tengah,2023,Produksi Cabai Besar Tw Teropong,6213.0
Kalimantan Selatan,2023,Produksi Cabai Besar Tw Teropong,64760.0
Kalimantan Timur,2023,Produksi Cabai Besar Tw Teropong,11827.0
Kalimantan Utara,2023,Produksi Cabai Besar Tw Teropong,53296.0
Sulawesi Utara,2023,Produksi Cabai Besar Tw Teropong,157.0
Sulawesi Tengah,2023,Produksi Cabai Besar Tw Teropong,26128.0
Sulawesi Selatan,2023,Produksi Cabai Besar Tw Teropong,123486.0
Sulawesi Tenggara,2023,Produksi Cabai Besar Tw Teropong,17637.0
Gorontalo,2023,Produksi Cabai Besar Tw Teropong,
Sulawesi Barat,2023,Produksi Cabai Besar Tw Teropong,28593.0
Maluku,2023,Produksi Cabai Besar Tw Teropong,3875.0
Maluku Utara,2023,Produksi Cabai Besar Tw Teropong,
Papua Barat,2023,Produksi Cabai Besar Tw Teropong,3368.0
Papua,2023,Produksi Cabai Besar Tw Teropong,2455.0
Aceh,2024,Produksi Cabai Besar Tw Teropong,37287.0
Sumatera Utara,2024,Produksi Cabai Besar Tw Teropong,29484.74
Sumatera Barat,2024,Produksi Cabai Besar Tw Teropong,2.26
Riau,2024,Produksi Cabai Besar Tw Teropong,11396.1
Jambi,2024,Produksi Cabai Besar Tw Teropong,11156.0
Sumatera Selatan,2024,Produksi Cabai Besar Tw Teropong,66037.9
Bengkulu,2024,Produksi Cabai Besar Tw Teropong,296531.85
Lampung,2024,Produksi Cabai Besar Tw Teropong,59865.1
Kepulauan Bangka Belitung,2024,Produksi Cabai Besar Tw Teropong,
Kepulauan Riau,2024,Produksi Cabai Besar Tw Teropong,4496.84
DKI Jakarta,2024,Produksi Cabai Besar Tw Teropong,1.2
Jawa Barat,2024,Produksi Cabai Besar Tw Teropong,1441340.45
Jawa Tengah,2024,Produksi Cabai Besar Tw Teropong,404419.36
DI Yogyakarta,2024,Produksi Cabai Besar Tw Teropong,11041.3
Jawa Timur,2024,Produksi Cabai Besar Tw Teropong,818452.1
Banten,2024,Produksi Cabai Besar Tw Teropong,2841.89
Bali,2024,Produksi Cabai Besar Tw Teropong,76145.64
Nusa Tenggara Barat,2024,Produksi Cabai Besar Tw Teropong,104445.36
Nusa Tenggara Timur,2024,Produksi Cabai Besar Tw Teropong,12829.41
Kalimantan Barat,2024,Produksi Cabai Besar Tw Teropong,24415.39
Kalimantan Tengah,2024,Produksi Cabai Besar Tw Teropong,7773.67
Kalimantan Selatan,2024,Produksi Cabai Besar Tw Teropong,81930.35
Kalimantan Timur,2024,Produksi Cabai Besar Tw Teropong,8615.48
Kalimantan Utara,2024,Produksi Cabai Besar Tw Teropong,54061.85
Sulawesi Utara,2024,Produksi Cabai Besar Tw Teropong,228.5
Sulawesi Tengah,2024,Produksi Cabai Besar Tw Teropong,25464.89
Sulawesi Selatan,2024,Produksi Cabai Besar Tw Teropong,161909.47
Sulawesi Tenggara,2024,Produksi Cabai Besar Tw Teropong,16230.29
Gorontalo,2024,Produksi Cabai Besar Tw Teropong,
Sulawesi Barat,2024,Produksi Cabai Besar Tw Teropong,23507.01
Maluku,2024,Produksi Cabai Besar Tw Teropong,4373.9
Maluku Utara,2024,Produksi Cabai Besar Tw Teropong,305.0
Papua Barat,2024,Produksi Cabai Besar Tw Teropong,1182.73
Papua,2024,Produksi Cabai Besar Tw Teropong,3758.8
Aceh,2022,Produksi Cabai Keriting,966417.0
Sumatera Utara,2022,Produksi Cabai Keriting,1853392.0
Sumatera Barat,2022,Produksi Cabai Keriting,1235035.0
Riau,2022,Produksi Cabai Keriting,107892.0
Jambi,2022,Produksi Cabai Keriting,936891.0
Sumatera Selatan,2022,Produksi Cabai Keriting,136292.0
Bengkulu,2022,Produksi Cabai Keriting,215200.0
Lampung,2022,Produksi Cabai Keriting,227202.0
Kepulauan Bangka Belitung,2022,Produksi Cabai Keriting,52461.0
Kepulauan Riau,2022,Produksi Cabai Keriting,25087.0
DKI Jakarta,2022,Produksi Cabai Keriting,
Jawa Barat,2022,Produksi Cabai Keriting,1956968.0
Jawa Tengah,2022,Produksi Cabai Keriting,1364381.0
DI Yogyakarta,2022,Produksi Cabai Keriting,336651.0
Jawa Timur,2022,Produksi Cabai Keriting,307317.0
Banten,2022,Produksi Cabai Keriting,53108.0
Bali,2022,Produksi Cabai Keriting,
Nusa Tenggara Barat,2022,Produksi Cabai Keriting,60224.0
Nusa Tenggara Timur,2022,Produksi Cabai Keriting,21679.0
Kalimantan Barat,2022,Produksi Cabai Keriting,8260.0
Kalimantan Tengah,2022,Produksi Cabai Keriting,3528.0
Kalimantan Selatan,2022,Produksi Cabai Keriting,22829.0
Kalimantan Timur,2022,Produksi Cabai Keriting,36498.0
Kalimantan Utara,2022,Produksi Cabai Keriting,8114.0
Sulawesi Utara,2022,Produksi Cabai Keriting,70570.0
Sulawesi Tengah,2022,Produksi Cabai Keriting,47167.0
Sulawesi Selatan,2022,Produksi Cabai Keriting,32743.0
Sulawesi Tenggara,2022,Produksi Cabai Keriting,10659.0
Gorontalo,2022,Produksi Cabai Keriting,446.0
Sulawesi Barat,2022,Produksi Cabai Keriting,10840.0
Maluku,2022,Produksi Cabai Keriting,23471.0
Maluku Utara,2022,Produksi Cabai Keriting,37084.0
Papua Barat,2022,Produksi Cabai Keriting,4974.0
Papua,2022,Produksi Cabai Keriting,440.0
Aceh,2023,Produksi Cabai Keriting,976434.0
Sumatera Utara,2023,Produksi Cabai Keriting,2052475.0
Sumatera Barat,2023,Produksi Cabai Keriting,1274499.0
Riau,2023,Produksi Cabai Keriting,86397.0
Jambi,2023,Produksi Cabai Keriting,1566369.0
Sumatera Selatan,2023,Produksi Cabai Keriting,122586.0
Bengkulu,2023,Produksi Cabai Keriting,216184.0
Lampung,2023,Produksi Cabai Keriting,218783.0
Kepulauan Bangka Belitung,2023,Produksi Cabai Keriting,63139.0
Kepulauan Riau,2023,Produksi Cabai Keriting,28853.0
DKI Jakarta,2023,Produksi Cabai Keriting,2.0
Jawa Barat,2023,Produksi Cabai Keriting,1862975.0
Jawa Tengah,2023,Produksi Cabai Keriting,1883106.0
DI Yogyakarta,2023,Produksi Cabai Keriting,441985.0
Jawa Timur,2023,Produksi Cabai Keriting,299407.0
Banten,2023,Produksi Cabai Keriting,40474.0
Bali,2023,Produksi Cabai Keriting,
Nusa Tenggara Barat,2023,Produksi Cabai Keriting,51165.0
Nusa Tenggara Timur,2023,Produksi Cabai Keriting,18891.0
Kalimantan Barat,2023,Produksi Cabai Keriting,5407.0
Kalimantan Tengah,2023,Produksi Cabai Keriting,3782.0
Kalimantan Selatan,2023,Produksi Cabai Keriting,22873.0
Kalimantan Timur,2023,Produksi Cabai Keriting,36473.0
Kalimantan Utara,2023,Produksi Cabai Keriting,12992.0
Sulawesi Utara,2023,Produksi Cabai Keriting,80115.0
Sulawesi Tengah,2023,Produksi Cabai Keriting,65171.0
Sulawesi Selatan,2023,Produksi Cabai Keriting,41631.0
Sulawesi Tenggara,2023,Produksi Cabai Keriting,16853.0
Gorontalo,2023,Produksi Cabai Keriting,12469.0
Sulawesi Barat,2023,Produksi Cabai Keriting,11661.0
Maluku,2023,Produksi Cabai Keriting,14740.0
Maluku Utara,2023,Produksi Cabai Keriting,54203.0
Papua Barat,2023,Produksi Cabai Keriting,1361.0
Papua,2023,Produksi Cabai Keriting,1066.0
Aceh,2024,Produksi Cabai Keriting,652995.97
Sumatera Utara,2024,Produksi Cabai Keriting,1901610.35
Sumatera Barat,2024,Produksi Cabai Keriting,1144020.55
Riau,2024,Produksi Cabai Keriting,79071.0
Jambi,2024,Produksi Cabai Keriting,1702847.68
Sumatera Selatan,2024,Produksi Cabai Keriting,104204.74
Bengkulu,2024,Produksi Cabai Keriting,169233.09
Lampung,2024,Produksi Cabai Keriting,212427.05
Kepulauan Bangka Belitung,2024,Produksi Cabai Keriting,77745.34
Kepulauan Riau,2024,Produksi Cabai Keriting,40587.48
DKI Jakarta,2024,Produksi Cabai Keriting,120.6
Jawa Barat,2024,Produksi Cabai Keriting,1800944.66
Jawa Tengah,2024,Produksi Cabai Keriting,1614656.12
DI Yogyakarta,2024,Produksi Cabai Keriting,453980.74
Jawa Timur,2024,Produksi Cabai Keriting,371350.9
Banten,2024,Produksi Cabai Keriting,30485.17
Bali,2024,Produksi Cabai Keriting,17.0
Nusa Tenggara Barat,2024,Produksi Cabai Keriting,57033.72
Nusa Tenggara Timur,2024,Produksi Cabai Keriting,14125.35
Kalimantan Barat,2024,Produksi Cabai Keriting,6692.21
Kalimantan Tengah,2024,Produksi Cabai Keriting,2297.1
Kalimantan Selatan,2024,Produksi Cabai Keriting,28900.2
Kalimantan Timur,2024,Produksi Cabai Keriting,35797.29
Kalimantan Utara,2024,Produksi Cabai Keriting,26341.27
Sulawesi Utara,2024,Produksi Cabai Keriting,48613.56
Sulawesi Tengah,2024,Produksi Cabai Keriting,68823.09
Sulawesi Selatan,2024,Produksi Cabai Keriting,70232.67
Sulawesi Tenggara,2024,Produksi Cabai Keriting,17092.18
Gorontalo,2024,Produksi Cabai Keriting,5770.47
Sulawesi Barat,2024,Produksi Cabai Keriting,8087.12
Maluku,2024,Produksi Cabai Keriting,17059.1
Maluku Utara,2024,Produksi Cabai Keriting,55251.92
Papua Barat,2024,Produksi Cabai Keriting,300.68
Papua,2024,Produksi Cabai Keriting,506.1
Aceh,2022,Produksi Cabai Rawit,653082.0
Sumatera Utara,2022,Produksi Cabai Rawit,870122.0
Sumatera Barat,2022,Produksi Cabai Rawit,266558.0
Riau,2022,Produksi Cabai Rawit,74288.0
Jambi,2022,Produksi Cabai Rawit,124289.0
Sumatera Selatan,2022,Produksi Cabai Rawit,94606.0
Bengkulu,2022,Produksi Cabai Rawit,214266.0
Lampung,2022,Produksi Cabai Rawit,111934.0
Kepulauan Bangka Belitung,2022,Produksi Cabai Rawit,37098.0
Kepulauan Riau,2022,Produksi Cabai Rawit,17729.0
DKI Jakarta,2022,Produksi Cabai Rawit,1.0
Jawa Barat,2022,Produksi Cabai Rawit,1490531.0
Jawa Tengah,2022,Produksi Cabai Rawit,2423032.0
DI Yogyakarta,2022,Produksi Cabai Rawit,151977.0
Jawa Timur,2022,Produksi Cabai Rawit,6467402.0
Banten,2022,Produksi Cabai Rawit,39098.0
Bali,2022,Produksi Cabai Rawit,283182.0
Nusa Tenggara Barat,2022,Produksi Cabai Rawit,500784.0
Nusa Tenggara Timur,2022,Produksi Cabai Rawit,198812.0
Kalimantan Barat,2022,Produksi Cabai Rawit,61926.0
Kalimantan Tengah,2022,Produksi Cabai Rawit,54191.0
Kalimantan Selatan,2022,Produksi Cabai Rawit,117636.0
Kalimantan Timur,2022,Produksi Cabai Rawit,77779.0
Kalimantan Utara,2022,Produksi Cabai Rawit,58751.0
Sulawesi Utara,2022,Produksi Cabai Rawit,190062.0
Sulawesi Tengah,2022,Produksi Cabai Rawit,253887.0
Sulawesi Selatan,2022,Produksi Cabai Rawit,237614.0
Sulawesi Tenggara,2022,Produksi Cabai Rawit,39145.0
Gorontalo,2022,Produksi Cabai Rawit,148055.0
Sulawesi Barat,2022,Produksi Cabai Rawit,34959.0
Maluku,2022,Produksi Cabai Rawit,38465.0
Maluku Utara,2022,Produksi Cabai Rawit,28729.0
Papua Barat,2022,Produksi Cabai Rawit,41065.0
Papua,2022,Produksi Cabai Rawit,43355.0
Aceh,2023,Produksi Cabai Rawit,729202.0
Sumatera Utara,2023,Produksi Cabai Rawit,868802.0
Sumatera Barat,2023,Produksi Cabai Rawit,250812.0
Riau,2023,Produksi Cabai Rawit,66068.0
Jambi,2023,Produksi Cabai Rawit,160868.0
Sumatera Selatan,2023,Produksi Cabai Rawit,77655.0
Bengkulu,2023,Produksi Cabai Rawit,225462.0
Lampung,2023,Produksi Cabai Rawit,140701.0
Kepulauan Bangka Belitung,2023,Produksi Cabai Rawit,55079.0
Kepulauan Riau,2023,Produksi Cabai Rawit,12449.0
DKI Jakarta,2023,Produksi Cabai Rawit,15.0
Jawa Barat,2023,Produksi Cabai Rawit,1639891.0
Jawa Tengah,2023,Produksi Cabai Rawit,2492077.0
DI Yogyakarta,2023,Produksi Cabai Rawit,213836.0
Jawa Timur,2023,Produksi Cabai Rawit,5628161.0
Banten,2023,Produksi Cabai Rawit,32269.0
Bali,2023,Produksi Cabai Rawit,205230.0
Nusa Tenggara Barat,2023,Produksi Cabai Rawit,679631.0
Nusa Tenggara Timur,2023,Produksi Cabai Rawit,90736.0
Kalimantan Barat,2023,Produksi Cabai Rawit,82783.0
Kalimantan Tengah,2023,Produksi Cabai Rawit,69687.0
Kalimantan Selatan,2023,Produksi Cabai Rawit,132551.0
Kalimantan Timur,2023,Produksi Cabai Rawit,74704.0
Kalimantan Utara,2023,Produksi Cabai Rawit,63712.0
Sulawesi Utara,2023,Produksi Cabai Rawit,179784.0
Sulawesi Tengah,2023,Produksi Cabai Rawit,215521.0
Sulawesi Selatan,2023,Produksi Cabai Rawit,284177.0
Sulawesi Tenggara,2023,Produksi Cabai Rawit,45290.0
Gorontalo,2023,Produksi Cabai Rawit,155226.0
Sulawesi Barat,2023,Produksi Cabai Rawit,37099.0
Maluku,2023,Produksi Cabai Rawit,45307.0
Maluku Utara,2023,Produksi Cabai Rawit,37174.0
Papua Barat,2023,Produksi Cabai Rawit,10457.0
Papua,2023,Produksi Cabai Rawit,7953.0
Aceh,2024,Produksi Cabai Rawit,640914.66
Sumatera Utara,2024,Produksi Cabai Rawit,835826.84
Sumatera Barat,2024,Produksi Cabai Rawit,279213.69
Riau,2024,Produksi Cabai Rawit,62856.38
Jambi,2024,Produksi Cabai Rawit,435784.76
Sumatera Selatan,2024,Produksi Cabai Rawit,89483.57
Bengkulu,2024,Produksi Cabai Rawit,242079.1
Lampung,2024,Produksi Cabai Rawit,113333.83
Kepulauan Bangka Belitung,2024,Produksi Cabai Rawit,60092.78
Kepulauan Riau,2024,Produksi Cabai Rawit,14873.67
DKI Jakarta,2024,Produksi Cabai Rawit,404.15
Jawa Barat,2024,Produksi Cabai Rawit,1637558.85
Jawa Tengah,2024,Produksi Cabai Rawit,2480795.12
DI Yogyakarta,2024,Produksi Cabai Rawit,290844.06
Jawa Timur,2024,Produksi Cabai Rawit,5689752.04
Banten,2024,Produksi Cabai Rawit,26571.26
Bali,2024,Produksi Cabai Rawit,220725.81
Nusa Tenggara Barat,2024,Produksi Cabai Rawit,941552.26
Nusa Tenggara Timur,2024,Produksi Cabai Rawit,112664.23
Kalimantan Barat,2024,Produksi Cabai Rawit,98363.93
Kalimantan Tengah,2024,Produksi Cabai Rawit,40374.9
Kalimantan Selatan,2024,Produksi Cabai Rawit,125753.72
Kalimantan Timur,2024,Produksi Cabai Rawit,60583.26
Kalimantan Utara,2024,Produksi Cabai Rawit,66463.29
Sulawesi Utara,2024,Produksi Cabai Rawit,132955.76
Sulawesi Tengah,2024,Produksi Cabai Rawit,229180.07
Sulawesi Selatan,2024,Produksi Cabai Rawit,361279.04
Sulawesi Tenggara,2024,Produksi Cabai Rawit,38908.56
Gorontalo,2024,Produksi Cabai Rawit,103720.4
Sulawesi Barat,2024,Produksi Cabai Rawit,32753.37
Maluku,2024,Produksi Cabai Rawit,39403.19
Maluku Utara,2024,Produksi Cabai Rawit,40166.11
Papua Barat,2024,Produksi Cabai Rawit,12905.21
Papua,2024,Produksi Cabai Rawit,9057.6
Aceh,2022,Produksi Jamur Lainnya,0.09
Sumatera Utara,2022,Produksi Jamur Lainnya,
Sumatera Barat,2022,Produksi Jamur Lainnya,
Riau,2022,Produksi Jamur Lainnya,7.3
Jambi,2022,Produksi Jamur Lainnya,
Sumatera Selatan,2022,Produksi Jamur Lainnya,0.04
Bengkulu,2022,Produksi Jamur Lainnya,0.01
Lampung,2022,Produksi Jamur Lainnya,0.86
Kepulauan Bangka Belitung,2022,Produksi Jamur Lainnya,
Kepulauan Riau,2022,Produksi Jamur Lainnya,
DKI Jakarta,2022,Produksi Jamur Lainnya,
Jawa Barat,2022,Produksi Jamur Lainnya,18.54
Jawa Tengah,2022,Produksi Jamur Lainnya,45.22
DI Yogyakarta,2022,Produksi Jamur Lainnya,17.08
Jawa Timur,2022,Produksi Jamur Lainnya,122.34
Banten,2022,Produksi Jamur Lainnya,
Bali,2022,Produksi Jamur Lainnya,
Nusa Tenggara Barat,2022,Produksi Jamur Lainnya,0.01
Nusa Tenggara Timur,2022,Produksi Jamur Lainnya,0.01
Kalimantan Barat,2022,Produksi Jamur Lainnya,
Kalimantan Tengah,2022,Produksi Jamur Lainnya,0.15
Kalimantan Selatan,2022,Produksi Jamur Lainnya,
Kalimantan Timur,2022,Produksi Jamur Lainnya,
Kalimantan Utara,2022,Produksi Jamur Lainnya,
Sulawesi Utara,2022,Produksi Jamur Lainnya,
Sulawesi Tengah,2022,Produksi Jamur Lainnya,0.2
Sulawesi Selatan,2022,Produksi Jamur Lainnya,
Sulawesi Tenggara,2022,Produksi Jamur Lainnya,
Gorontalo,2022,Produksi Jamur Lainnya,
Sulawesi Barat,2022,Produksi Jamur Lainnya,
Maluku,2022,Produksi Jamur Lainnya,
Maluku Utara,2022,Produksi Jamur Lainnya,
Papua Barat,2022,Produksi Jamur Lainnya,
Papua,2022,Produksi Jamur Lainnya,
Aceh,2023,Produksi Jamur Lainnya,0.01
Sumatera Utara,2023,Produksi Jamur Lainnya,
Sumatera Barat,2023,Produksi Jamur Lainnya,
Riau,2023,Produksi Jamur Lainnya,5.1
Jambi,2023,Produksi Jamur Lainnya,
Sumatera Selatan,2023,Produksi Jamur Lainnya,115.12
Bengkulu,2023,Produksi Jamur Lainnya,0.01
Lampung,2023,Produksi Jamur Lainnya,27.84
Kepulauan Bangka Belitung,2023,Produksi Jamur Lainnya,
Kepulauan Riau,2023,Produksi Jamur Lainnya,
DKI Jakarta,2023,Produksi Jamur Lainnya,
Jawa Barat,2023,Produksi Jamur Lainnya,1.23
Jawa Tengah,2023,Produksi Jamur Lainnya,67.05
DI Yogyakarta,2023,Produksi Jamur Lainnya,0.32
Jawa Timur,2023,Produksi Jamur Lainnya,22.13
Banten,2023,Produksi Jamur Lainnya,
Bali,2023,Produksi Jamur Lainnya,
Nusa Tenggara Barat,2023,Produksi Jamur Lainnya,1.04
Nusa Tenggara Timur,2023,Produksi Jamur Lainnya,
Kalimantan Barat,2023,Produksi Jamur Lainnya,
Kalimantan Tengah,2023,Produksi Jamur Lainnya,
Kalimantan Selatan,2023,Produksi Jamur Lainnya,
Kalimantan Timur,2023,Produksi Jamur Lainnya,
Kalimantan Utara,2023,Produksi Jamur Lainnya,
Sulawesi Utara,2023,Produksi Jamur Lainnya,
Sulawesi Tengah,2023,Produksi Jamur Lainnya,
Sulawesi Selatan,2023,Produksi Jamur Lainnya,0.01
Sulawesi Tenggara,2023,Produksi Jamur Lainnya,
Gorontalo,2023,Produksi Jamur Lainnya,
Sulawesi Barat,2023,Produksi Jamur Lainnya,
Maluku,2023,Produksi Jamur Lainnya,
Maluku Utara,2023,Produksi Jamur Lainnya,
Papua Barat,2023,Produksi Jamur Lainnya,
Papua,2023,Produksi Jamur Lainnya,
Aceh,2024,Produksi Jamur Lainnya,
Sumatera Utara,2024,Produksi Jamur Lainnya,
Sumatera Barat,2024,Produksi Jamur Lainnya,
Riau,2024,Produksi Jamur Lainnya,590.0
Jambi,2024,Produksi Jamur Lainnya,
Sumatera Selatan,2024,Produksi Jamur Lainnya,2937.0
Bengkulu,2024,Produksi Jamur Lainnya,0.05
Lampung,2024,Produksi Jamur Lainnya,2535.9
Kepulauan Bangka Belitung,2024,Produksi Jamur Lainnya,
Kepulauan Riau,2024,Produksi Jamur Lainnya,
DKI Jakarta,2024,Produksi Jamur Lainnya,
Jawa Barat,2024,Produksi Jamur Lainnya,332.8
Jawa Tengah,2024,Produksi Jamur Lainnya,8912.57
DI Yogyakarta,2024,Produksi Jamur Lainnya,74.65
Jawa Timur,2024,Produksi Jamur Lainnya,5560.57
Banten,2024,Produksi Jamur Lainnya,36.0
Bali,2024,Produksi Jamur Lainnya,
Nusa Tenggara Barat,2024,Produksi Jamur Lainnya,82.23
Nusa Tenggara Timur,2024,Produksi Jamur Lainnya,
Kalimantan Barat,2024,Produksi Jamur Lainnya,
Kalimantan Tengah,2024,Produksi Jamur Lainnya,
Kalimantan Selatan,2024,Produksi Jamur Lainnya,
Kalimantan Timur,2024,Produksi Jamur Lainnya,
Kalimantan Utara,2024,Produksi Jamur Lainnya,
Sulawesi Utara,2024,Produksi Jamur Lainnya,
Sulawesi Tengah,2024,Produksi Jamur Lainnya,
Sulawesi Selatan,2024,Produksi Jamur Lainnya,0.5
Sulawesi Tenggara,2024,Produksi Jamur Lainnya,
Gorontalo,2024,Produksi Jamur Lainnya,
Sulawesi Barat,2024,Produksi Jamur Lainnya,
Maluku,2024,Produksi Jamur Lainnya,
Maluku Utara,2024,Produksi Jamur Lainnya,
Papua Barat,2024,Produksi Jamur Lainnya,
Papua,2024,Produksi Jamur Lainnya,0.12
Aceh,2022,Produksi Jamur Merang,0.91
Sumatera Utara,2022,Produksi Jamur Merang,
Sumatera Barat,2022,Produksi Jamur Merang,
Riau,2022,Produksi Jamur Merang,0.0
Jambi,2022,Produksi Jamur Merang,
Sumatera Selatan,2022,Produksi Jamur Merang,2.0
Bengkulu,2022,Produksi Jamur Merang,
Lampung,2022,Produksi Jamur Merang,37.38
Kepulauan Bangka Belitung,2022,Produksi Jamur Merang,
Kepulauan Riau,2022,Produksi Jamur Merang,
DKI Jakarta,2022,Produksi Jamur Merang,
Jawa Barat,2022,Produksi Jamur Merang,534.09
Jawa Tengah,2022,Produksi Jamur Merang,11.61
DI Yogyakarta,2022,Produksi Jamur Merang,17.82
Jawa Timur,2022,Produksi Jamur Merang,222.13
Banten,2022,Produksi Jamur Merang,
Bali,2022,Produksi Jamur Merang,
Nusa Tenggara Barat,2022,Produksi Jamur Merang,0.06
Nusa Tenggara Timur,2022,Produksi Jamur Merang,
Kalimantan Barat,2022,Produksi Jamur Merang,0.09
Kalimantan Tengah,2022,Produksi Jamur Merang,
Kalimantan Selatan,2022,Produksi Jamur Merang,
Kalimantan Timur,2022,Produksi Jamur Merang,
Kalimantan Utara,2022,Produksi Jamur Merang,
Sulawesi Utara,2022,Produksi Jamur Merang,
Sulawesi Tengah,2022,Produksi Jamur Merang,
Sulawesi Selatan,2022,Produksi Jamur Merang,
Sulawesi Tenggara,2022,Produksi Jamur Merang,0.0
Gorontalo,2022,Produksi Jamur Merang,
Sulawesi Barat,2022,Produksi Jamur Merang,
Maluku,2022,Produksi Jamur Merang,
Maluku Utara,2022,Produksi Jamur Merang,
Papua Barat,2022,Produksi Jamur Merang,
Papua,2022,Produksi Jamur Merang,
Aceh,2023,Produksi Jamur Merang,0.19
Sumatera Utara,2023,Produksi Jamur Merang,0.0
Sumatera Barat,2023,Produksi Jamur Merang,
Riau,2023,Produksi Jamur Merang,
Jambi,2023,Produksi Jamur Merang,
Sumatera Selatan,2023,Produksi Jamur Merang,
Bengkulu,2023,Produksi Jamur Merang,0.0
Lampung,2023,Produksi Jamur Merang,20.29
Kepulauan Bangka Belitung,2023,Produksi Jamur Merang,
Kepulauan Riau,2023,Produksi Jamur Merang,
DKI Jakarta,2023,Produksi Jamur Merang,
Jawa Barat,2023,Produksi Jamur Merang,382.66
Jawa Tengah,2023,Produksi Jamur Merang,4.45
DI Yogyakarta,2023,Produksi Jamur Merang,7.94
Jawa Timur,2023,Produksi Jamur Merang,44.62
Banten,2023,Produksi Jamur Merang,3.9
Bali,2023,Produksi Jamur Merang,
Nusa Tenggara Barat,2023,Produksi Jamur Merang,0.01
Nusa Tenggara Timur,2023,Produksi Jamur Merang,
Kalimantan Barat,2023,Produksi Jamur Merang,0.05
Kalimantan Tengah,2023,Produksi Jamur Merang,
Kalimantan Selatan,2023,Produksi Jamur Merang,
Kalimantan Timur,2023,Produksi Jamur Merang,
Kalimantan Utara,2023,Produksi Jamur Merang,
Sulawesi Utara,2023,Produksi Jamur Merang,
Sulawesi Tengah,2023,Produksi Jamur Merang,
Sulawesi Selatan,2023,Produksi Jamur Merang,
Sulawesi Tenggara,2023,Produksi Jamur Merang,
Gorontalo,2023,Produksi Jamur Merang,
